entropy_10m,standard_deviation_10m,turbulence_intensity_10m,variability_index_10m,entropy_era5,standard_deviation_era5,turbulence_intensity_era5,variability_index_era5
0.338561816,0.47162544,0.141134795,0.418952618,0.477332372,0.231599645,0.058892492,0.168751041
0.32838474,0.449691252,0.133571659,0.415841584,0.598375232,0.207101644,0.052140314,0.16707617
0.289726397,0.466368953,0.139214613,0.417910448,0.592905999,0.153001031,0.038203548,0.140927661
0.516639573,0.435889894,0.12820291,0.411764706,0.723482605,0.090819489,0.02244548,0.078248502
0.748806468,0.40918279,0.116631674,0.370546318,0.817567354,0.124415187,0.030371422,0.135521303
0.598783162,0.450924975,0.125256938,0.416666667,0.636838144,0.158197737,0.03827764,0.139077781
0.688539804,0.543841787,0.14731606,0.514672686,0.603971008,0.158721395,0.03833165,0.138814525
0.268814315,0.636832439,0.166130202,0.573913043,0.616522513,0.163640349,0.0395945,0.139077648
0.123169136,0.670613318,0.172690125,0.566523605,0.602025779,0.17245908,0.041920103,0.139716966
0.102634153,0.70632067,0.179573052,0.559322034,0.57735443,0.174815039,0.042583339,0.14001475
0.149390704,0.723561792,0.182028124,0.553459119,0.603950241,0.175184511,0.042602551,0.139782488
0.231232844,0.70651728,0.174448711,0.543209877,0.79922893,0.271752748,0.066952816,0.271925837
0.434250973,0.666406199,0.160258004,0.529058116,0.644100011,0.341508714,0.085576998,0.291282709
0.545067453,0.585234996,0.137702352,0.517647059,0.523632591,0.359513177,0.090999884,0.294228998
0.684722129,0.390423559,0.088901,0.364326376,0.528575942,0.382232548,0.097589824,0.29678115
0.69461004,0.256038192,0.057321983,0.223880597,0.641688849,0.411652574,0.10686018,0.301748078
0.746059088,0.30945741,0.069671462,0.292682927,0.590234332,0.41589838,0.11115376,0.359974144
0.796871846,0.550504819,0.127530074,0.50965251,0.679901932,0.391237828,0.107901417,0.308698375
0.701727292,0.659966329,0.158391919,0.528,0.584947445,0.374888495,0.10604916,0.306624364
0.457508439,0.639444203,0.158539885,0.47107438,0.591508008,0.357570048,0.103033579,0.312333948
0.576287735,0.710780088,0.183427119,0.516129032,0.680649512,0.338588837,0.099441537,0.318344045
0.41871541,0.710780088,0.190813446,0.483221477,0.772108896,0.286710483,0.08581876,0.324444338
0.305919094,0.674948558,0.185765658,0.495412844,0.508928334,0.154560959,0.047097748,0.151707625
0.405453032,0.644635987,0.180739062,0.504672897,0.46176993,0.173506029,0.05258777,0.150895835
0.491177001,0.580409338,0.16702427,0.517985612,0.337000045,0.175209816,0.052989819,0.150570909
0.613939585,0.540768486,0.15944034,0.530712531,0.671677734,0.166164628,0.050896567,0.153226641
0.712494792,0.425897745,0.129715049,0.487309645,0.666785209,0.167632354,0.051992244,0.179109926
0.814415168,0.296741564,0.093217245,0.314136126,0.814218164,0.190936324,0.058847475,0.177982872
0.757287454,0.253174292,0.080585982,0.25464191,0.682669477,0.296224113,0.089078878,0.328452651
