Time,Obs10m,Obs60m,Dir10m,Dir60m,WTK_New10m,ERA510m
1/1/2018 0:00,2.8,5,301.7,311.5,4.660556,3.579450352
1/1/2018 1:00,3,5.3,306.3,315.2,4.635162,3.494926259
1/1/2018 2:00,2.8,4.9,307.3,315.3,4.8777,3.594153958
1/1/2018 3:00,2.7,4.9,292.9,301.1,4.715877,3.841942679
1/1/2018 4:00,3.2,5.5,294.5,301.9,4.378037,4.026980471
1/1/2018 5:00,3.6,6.4,296.4,304.7,4.43729,4.100380708
1/1/2018 6:00,3.3,5.5,294.2,303.6,4.12341,4.082620513
1/1/2018 7:00,4,6.7,297.3,303.2,3.626087,4.158553822
1/1/2018 8:00,4.1,6.8,299,305.4,3.823601,4.115363746
1/1/2018 9:00,4,6.4,296.9,303.7,4.351975,4.077207014
1/1/2018 10:00,3.4,5.3,294.8,303.6,4.419272,3.998983921
1/1/2018 11:00,3.2,5.2,287.9,294.7,4.14853,4.12043869
1/1/2018 12:00,3.1,5,282.1,288,4.790989,4.052521163
1/1/2018 13:00,2.8,4.7,279.6,286.2,4.858054,3.88954059
1/1/2018 14:00,3.4,5.4,274.3,281.4,4.808627,4.090181899
1/1/2018 15:00,4,5.5,269,276.9,5.418058,4.444697626
1/1/2018 16:00,4.3,5.4,267.5,273.4,5.178318,4.464335442
1/1/2018 17:00,4.7,5.7,265.9,273.7,4.863302,4.194435138
1/1/2018 18:00,5,6.2,272.4,276.3,4.899703,3.988613354
1/1/2018 19:00,4.6,5.7,261.7,268,4.52841,3.93161735
1/1/2018 20:00,4.7,5.6,249.9,257.1,4.468499,4.010367847
1/1/2018 21:00,4.5,5.6,256.5,262.7,4.079113,4.159061946
1/1/2018 22:00,4.3,5.7,251.7,257.7,3.878532,3.360623933
1/1/2018 23:00,4.5,6.1,255.3,261.7,3.735859,3.301925152
1/2/2018 0:00,4.2,6.3,260.5,267.2,3.596567,3.572991003
1/2/2018 1:00,4.5,6.5,258.4,261.8,4.193757,3.481854978
1/2/2018 2:00,4.3,6.3,259.3,265.7,4.091692,3.316526187
1/2/2018 3:00,3.7,5.7,255.5,262.2,3.877222,3.117438463
1/2/2018 4:00,2.8,4.7,249.5,261,4.058033,3.075131193
1/2/2018 5:00,2.9,5.1,255.1,267.3,3.835196,3.104381894
1/2/2018 6:00,3.4,5.5,252.1,260.9,3.411862,3.213149715
